index,X(200),plate_x,instruction,
,0,75,-1,game3 start
,0,70,-1,
,0,65,-1,
,0,60,-1,
,0,55,-1,
,0,50,-1,
,0,45,-1,
,0,40,-1,
,0,35,-1,
,0,30,-1,
,0,25,-1,
,0,20,-1,
,0,15,-1,
,0,10,-1,
,89.5714285714286,5,1,
,7,10,-1,
,7,5,-1,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,7,0,0,
,5.14285714285714,0,0,
,42,0,1,
,2,5,-1,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,2,0,0,
,28.7142857142857,0,1,
,11,5,-1,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,11,0,0,
,183,0,1,
,183,5,1,
,183,10,1,
,183,15,1,
,183,20,1,
,183,25,1,
,183,30,1,
,183,35,1,
,183,40,1,
,183,45,1,
,183,50,1,
,183,55,1,
,185.142857142857,60,1,
,184,65,1,
,184,70,1,
,184,75,1,
,184,80,1,
,184,85,1,
,184,90,1,
,184,95,1,
,184,100,1,
,184,105,1,
,184,110,1,
,184,115,1,
,184,120,1,
,184,125,1,
,184,130,1,
,184,135,1,
,184,140,1,
,184,145,1,
,184,150,1,
,184,155,1,
,184,160,0,
,184,160,0,
,184,160,0,
,184,160,0,
,184,160,0,
,184,160,0,
,184,160,0,
,184,160,0,
,187.857142857143,160,0,
,175,160,-1,
,175,155,-1,
,139,150,-1,
,179,145,1,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,179,150,0,
,154.285714285714,150,-1,
,180,145,1,
,180,150,1,
,180,155,1,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,180,160,0,
,26,160,-1,
,26,155,-1,
,26,150,-1,
,26,145,-1,
,26,140,-1,
,26,135,-1,
,26,130,-1,
,26,125,-1,
,26,120,-1,
,26,115,-1,
,7.85714285714289,110,-1,
,35,105,-1,
,35,100,-1,
,35,95,-1,
,35,90,-1,
,35,85,-1,
,35,80,-1,
,35,75,-1,
,35,70,-1,
,35,65,-1,
,35,60,-1,
,35,55,-1,
,35,50,-1,
,35,45,-1,
,35,40,-1,
,35,35,-1,
,35,30,-1,
,35,25,-1,
,35,20,-1,
,35,15,-1,
,35,10,0,
,35,10,0,
,35,10,0,
,35,10,0,
,35,10,0,
,35,10,0,
,35,10,0,
,35,10,0,
,29.1428571428571,10,0,
,34,10,0,
,34,10,0,
,34,10,0,
,34,10,0,
,70,10,1,
,30,15,-1,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,30,10,0,
,52.7142857142857,10,1,
,39,15,-1,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
,39,10,0,
